char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
法	U+6CD5	0xF0CD	1x1,1x2	83	chunk_0001	5	82	provisional
凝	U+51DD	0xF0CE	1x1,1x2	12	chunk_0001	5	9	provisional
聚	U+805A	0xF0CF	1x1,1x2	5	chunk_0001	5	4	provisional
查	U+67E5	0xF0D0	1x1,1x2	161	chunk_0001	5	134	provisional
克	U+514B	0xF0D1	1x1,1x2	160	chunk_0001	5	135	provisional
拉	U+62C9	0xF0D2	1x1,1x2	151	chunk_0001	5	124	provisional
有	U+6709	0xF0D3	1x1,1x2	373	chunk_0001	5	348	provisional
需	U+9700	0xF0D4	1x1,1x2	20	chunk_0001	5	19	provisional
出	U+51FA	0xF0D5	1x1,1x2	94	chunk_0001	5	88	provisional
现	U+73B0	0xF0D6	1x1,1x2	51	chunk_0001	5	50	provisional
说	U+8BF4	0xF0D7	1x1,1x2	242	chunk_0001	5	217	provisional
明	U+660E	0xF0D8	1x1,1x2	46	chunk_0001	5	45	provisional
功	U+529F	0xF0D9	1x1,1x2	87	chunk_0001	5	86	provisional
话	U+8BDD	0xF0DA	1x1,1x2	171	chunk_0001	5	169	provisional
威	U+5A01	0xF0DB	1x1,1x2	7	chunk_0001	5	4	provisional
力	U+529B	0xF0DC	1x1,1x2	341	chunk_0001	5	234	provisional
效	U+6548	0xF0DD	1x1,1x2	45	chunk_0001	5	22	provisional
果	U+679C	0xF0DE	1x1,1x2	81	chunk_0001	5	57	provisional
利	U+5229	0xF0DF	1x1,1x2	20	chunk_0001	5	20	provisional
啊	U+554A	0xF0E0	1x1,1x2	485	chunk_0001	5	402	provisional
只	U+53EA	0xF0E1	1x1,1x2	45	chunk_0002	0	45	provisional
装	U+88C5	0xF0E2	1x1,1x2	86	chunk_0002	0	70	provisional
备	U+5907	0xF0E3	1x1,1x2	95	chunk_0002	0	75	provisional
通	U+901A	0xF0E4	1x1,1x2	225	chunk_0002	0	181	provisional
札	U+672D	0xF0E5	1x1,1x2	88	chunk_0002	0	84	provisional
召	U+53EC	0xF0E6	1x1,1x2	34	chunk_0002	0	33	provisional
唤	U+5524	0xF0E7	1x1,1x2	33	chunk_0002	0	33	provisional
兽	U+517D	0xF0E8	1x1,1x2	108	chunk_0002	0	102	provisional
让	U+8BA9	0xF0E9	1x1,1x2	70	chunk_0002	0	68	provisional
它	U+5B83	0xF0EA	1x1,1x2	19	chunk_0002	0	19	provisional
替	U+66FF	0xF0EB	1x1,1x2	48	chunk_0002	0	41	provisional
白	U+767D	0xF0EC	1x1,1x2	57	chunk_0002	0	52	provisional
收	U+6536	0xF0ED	1x1,1x2	82	chunk_0002	1	73	provisional
回	U+56DE	0xF0EE	1x1,1x2	80	chunk_0002	1	70	provisional
行	U+884C	0xF0EF	1x1,1x2	142	chunk_0002	1	134	provisional
无	U+65E0	0xF0F0	1x1,1x2	151	chunk_0002	2	137	provisional
在	U+5728	0xF0F1	1x1,1x2	294	chunk_0002	2	281	provisional
场	U+573A	0xF0F2	1x1,1x2	64	chunk_0002	2	41	provisional
不	U+4E0D	0xF0F3	1x1,1x2	578	chunk_0002	2	498	provisional
还	U+8FD8	0xF0F4	1x1,1x2	108	chunk_0002	2	106	provisional
很	U+5F88	0xF0F5	1x1,1x2	113	chunk_0002	2	110	provisional
弱	U+5F31	0xF0F6	1x1,1x2	15	chunk_0002	2	11	provisional
变	U+53D8	0xF0F7	1x1,1x2	59	chunk_0002	2	49	provisional
强	U+5F3A	0xF0F8	1x1,1x2	83	chunk_0002	2	68	provisional
越	U+8D8A	0xF0F9	1x1,1x2	14	chunk_0002	2	9	provisional
以	U+4EE5	0xF0FA	1x1,1x2	245	chunk_0002	2	218	provisional
别	U+522B	0xF0FB	1x1,1x2	56	chunk_0002	2	55	provisional
忘	U+5FD8	0xF0FC	1x1,1x2	4	chunk_0002	2	4	provisional
够	U+591F	0xF140	1x1,1x2	81	chunk_0002	2	21	provisional
那	U+90A3	0xF141	1x1,1x2	267	chunk_0002	2	255	provisional
去	U+53BB	0xF142	1x1,1x2	164	chunk_0002	2	158	provisional
破	U+7834	0xF143	1x1,1x2	57	chunk_0002	2	57	provisional
邪	U+90AA	0xF144	1x1,1x2	93	chunk_0002	2	87	provisional
谷	U+8C37	0xF145	1x1,1x2	70	chunk_0002	2	69	provisional
换	U+6362	0xF146	1x1,1x2	102	chunk_0003	0	76	provisional
候	U+5019	0xF147	1x1,1x2	33	chunk_0003	0	33	provisional
补	U+8865	0xF148	1x1,1x2	10	chunk_0003	0	9	provisional
色	U+8272	0xF149	1x1,1x2	74	chunk_0003	0	65	provisional
交	U+4EA4	0xF14A	1x1,1x2	112	chunk_0003	0	85	provisional
手	U+624B	0xF14B	1x1,1x2	338	chunk_0003	0	289	provisional
尽	U+5C3D	0xF14C	1x1,1x2	8	chunk_0003	0	8	provisional
管	U+7BA1	0xF14D	1x1,1x2	13	chunk_0003	0	13	provisional
练	U+7EC3	0xF14E	1x1,1x2	21	chunk_0003	0	15	provisional
习	U+4E60	0xF14F	1x1,1x2	12	chunk_0003	0	10	provisional
真	U+771F	0xF150	1x1,1x2	131	chunk_0003	1	128	provisional
麻	U+9EBB	0xF151	1x1,1x2	35	chunk_0003	1	34	provisional
烦	U+70E6	0xF152	1x1,1x2	26	chunk_0003	1	25	provisional
…	U+2026	0xF153	1x1,1x2	2329	chunk_0003	1	945	provisional
丁	U+4E01	0xF154	1x1,1x2	21	chunk_0003	1	19	provisional
顺	U+987A	0xF155	1x1,1x2	11	chunk_0003	2	11	provisional
结	U+7ED3	0xF156	1x1,1x2	50	chunk_0003	2	43	provisional
束	U+675F	0xF157	1x1,1x2	43	chunk_0003	2	39	provisional
合	U+5408	0xF158	1x1,1x2	34	chunk_0003	2	33	provisional
所	U+6240	0xF159	1x1,1x2	63	chunk_0003	2	61	provisional
积	U+79EF	0xF15A	1x1,1x2	13	chunk_0003	2	12	provisional
极	U+6781	0xF15B	1x1,1x2	15	chunk_0003	2	13	provisional
怎	U+600E	0xF15C	1x1,1x2	83	chunk_0003	3	80	provisional
么	U+4E48	0xF15D	1x1,1x2	319	chunk_0003	3	307	provisional
？	U+FF1F	0xF15E	1x1,1x2	522	chunk_0003	3	411	provisional
稍	U+7A0D	0xF15F	1x1,1x2	21	chunk_0003	3	19	provisional
微	U+5FAE	0xF160	1x1,1x2	36	chunk_0003	3	14	provisional
惯	U+60EF	0xF161	1x1,1x2	1	chunk_0003	3	1	provisional
吗	U+5417	0xF162	1x1,1x2	188	chunk_0003	3	167	provisional
更	U+66F4	0xF163	1x1,1x2	32	chunk_0003	3	29	provisional
任	U+4EFB	0xF164	1x1,1x2	65	chunk_0003	3	64	provisional
务	U+52A1	0xF165	1x1,1x2	62	chunk_0003	3	61	provisional
油	U+6CB9	0xF166	1x1,1x2	28	chunk_0003	3	27	provisional
哼	U+54FC	0xF167	1x1,1x2	31	chunk_0004	0	21	provisional
杂	U+6742	0xF168	1x1,1x2	6	chunk_0004	0	5	provisional
鱼	U+9C7C	0xF169	1x1,1x2	9	chunk_0004	0	8	provisional
终	U+7EC8	0xF16A	1x1,1x2	11	chunk_0004	0	11	provisional
究	U+7A76	0xF16B	1x1,1x2	5	chunk_0004	0	4	provisional
激	U+6FC0	0xF16C	1x1,1x2	7	chunk_0004	0	7	provisional
龙	U+9F99	0xF16D	1x1,1x2	46	chunk_0004	0	45	provisional
呀	U+5440	0xF16E	1x1,1x2	50	chunk_0004	2	45	provisional
唔	U+5514	0xF16F	1x1,1x2	12	chunk_0004	3	8	provisional
呃	U+5443	0xF170	1x1,1x2	24	chunk_0004	5	24	provisional
六	U+516D	0xF171	1x1,1x2	18	chunk_0005	0	18	provisional
没	U+6CA1	0xF172	1x1,1x2	177	chunk_0005	0	166	provisional
嘻	U+563B	0xF173	1x1,1x2	38	chunk_0005	1	14	provisional
点	U+70B9	0xF174	1x1,1x2	108	chunk_0005	1	99	provisional
小	U+5C0F	0xF175	1x1,1x2	152	chunk_0005	1	138	provisional
差	U+5DEE	0xF176	1x1,1x2	14	chunk_0005	1	14	provisional
多	U+591A	0xF177	1x1,1x2	133	chunk_0005	1	123	provisional
该	U+8BE5	0xF178	1x1,1x2	32	chunk_0005	1	32	provisional
认	U+8BA4	0xF179	1x1,1x2	24	chunk_0005	1	19	provisional
完	U+5B8C	0xF17A	1x1,1x2	69	chunk_0005	2	63	provisional
呢	U+5462	0xF17B	1x1,1x2	158	chunk_0005	2	157	provisional
嘿	U+563F	0xF17C	1x1,1x2	57	chunk_0006	1	24	provisional
佐	U+4F50	0xF17D	1x1,1x2	47	chunk_0007	1	43	provisional
助	U+52A9	0xF17E	1x1,1x2	47	chunk_0007	1	43	provisional
君	U+541B	0xF180	1x1,1x2	24	chunk_0007	2	23	provisional
喂	U+5582	0xF181	1x1,1x2	44	chunk_0007	3	41	provisional
呵	U+5475	0xF182	1x1,1x2	40	chunk_0008	0	18	provisional
